,starttime,Lat,Lon,Base
548137,4/30/14 16:37,40.741,-73.9981,B02682
548138,4/30/14 16:37,40.7052,-74.0099,B02682
548139,4/30/14 16:37,40.7383,-74.0286,B02682
548140,4/30/14 16:37,40.7643,-73.9693,B02682
548141,4/30/14 16:38,40.6771,-73.9415,B02682
548142,4/30/14 16:38,40.7074,-74.0038,B02682
548143,4/30/14 16:38,40.7563,-73.9916,B02682
548144,4/30/14 16:38,40.7247,-73.9996,B02682
548145,4/30/14 16:38,40.7153,-74.0139,B02682
548146,4/30/14 16:38,40.7414,-73.9913,B02682
548147,4/30/14 16:38,40.738,-73.9985,B02682
548148,4/30/14 16:38,40.6855,-73.9853,B02682
548149,4/30/14 16:38,40.7543,-73.9719,B02682
548150,4/30/14 16:38,40.7179,-74.0155,B02682
548151,4/30/14 16:38,40.7241,-73.9961,B02682
548152,4/30/14 16:38,40.7409,-73.986,B02682
548153,4/30/14 16:38,40.7141,-74.0146,B02682
548154,4/30/14 16:38,40.7464,-73.9858,B02682
548155,4/30/14 16:38,40.7141,-74.0146,B02682
548156,4/30/14 16:38,40.7196,-74.0006,B02682
548157,4/30/14 16:38,40.7666,-73.9833,B02682
548158,4/30/14 16:39,40.7512,-73.9804,B02682
548159,4/30/14 16:39,40.7702,-73.9592,B02682
548160,4/30/14 16:39,40.7784,-73.9744,B02682
548161,4/30/14 16:39,40.7249,-74.0077,B02682
548162,4/30/14 16:39,40.7455,-74.009,B02682
548163,4/30/14 16:39,40.7141,-74.0146,B02682
548164,4/30/14 16:39,40.7558,-73.9751,B02682
548165,4/30/14 16:39,40.7486,-74.0046,B02682
548166,4/30/14 16:39,40.7256,-74.0092,B02682
548167,4/30/14 16:39,40.7282,-74.0071,B02682
548168,4/30/14 16:39,40.7205,-74.01,B02682
548169,4/30/14 16:39,40.7205,-74.01,B02682
548170,4/30/14 16:39,40.7666,-73.9539,B02682
548171,4/30/14 16:39,40.7365,-74.0014,B02682
548172,4/30/14 16:39,40.736,-73.9859,B02682
548173,4/30/14 16:39,40.7672,-73.9842,B02682
548174,4/30/14 16:39,40.7027,-73.9896,B02682
548175,4/30/14 16:39,40.8996,-73.9011,B02682
548176,4/30/14 16:39,40.7458,-73.994,B02682
548177,4/30/14 16:40,40.7683,-73.9844,B02682
548178,4/30/14 16:40,40.7582,-73.9775,B02682
548179,4/30/14 16:40,40.7586,-73.9775,B02682
548180,4/30/14 16:40,40.7461,-73.9863,B02682
548181,4/30/14 16:40,40.7607,-73.9798,B02682
548182,4/30/14 16:40,40.7366,-74.034,B02682
548183,4/30/14 16:40,40.7963,-73.9496,B02682
548184,4/30/14 16:40,40.7716,-73.9656,B02682
548185,4/30/14 16:40,40.7528,-73.9728,B02682
548186,4/30/14 16:40,40.7666,-73.9846,B02682
548187,4/30/14 16:40,40.7795,-73.9617,B02682
548188,4/30/14 16:40,40.7473,-73.9857,B02682
548189,4/30/14 16:40,40.7237,-74.0036,B02682
548190,4/30/14 16:40,40.757,-73.999,B02682
548191,4/30/14 16:40,40.7495,-73.9891,B02682
548192,4/30/14 16:40,40.728,-74.0068,B02682
548193,4/30/14 16:41,40.7472,-73.9897,B02682
548194,4/30/14 16:41,40.7558,-73.9834,B02682
548195,4/30/14 16:41,40.7555,-73.9874,B02682
548196,4/30/14 16:41,40.7213,-73.9839,B02682
548197,4/30/14 16:41,40.7273,-74.0071,B02682
548198,4/30/14 16:41,40.7286,-74.0071,B02682
548199,4/30/14 16:41,40.7786,-73.984,B02682
548200,4/30/14 16:41,40.7592,-73.9956,B02682
548201,4/30/14 16:41,40.7404,-73.9868,B02682
548202,4/30/14 16:41,40.7517,-73.9801,B02682
548203,4/30/14 16:41,40.7526,-73.9894,B02682
548204,4/30/14 16:41,40.7712,-73.9783,B02682
548205,4/30/14 16:41,40.7578,-73.9891,B02682
548206,4/30/14 16:42,40.7764,-73.9624,B02682
548207,4/30/14 16:42,40.6729,-73.9877,B02682
548208,4/30/14 16:42,40.7304,-74.0068,B02682
548209,4/30/14 16:42,40.7249,-74.0077,B02682
548210,4/30/14 16:42,40.7787,-73.9582,B02682
